Rank,User/TeamName,Affiliation/Org,Score
615,"iloveicecream19","Sisler, Winnipeg, MB",150
616,"maxgamer400","CWDHS2019CanHacks",150
617,"WeDontKnowWhatWe'reDoing","Northern Secondary",150
618,"Ryan504","Nothern Secondary School",150
619,"AdudeNamedDaniel","River East Collegiate ",150
620,"LoganSanders15","Huntsville High School",150
621,"HackerSides","Huntsville High School",150
622,"DumbWeebBois","Leaside HS",150
623,"Providence123.student13","conseil scolaire catholique providence",150
624,"Hijensen","Fundy Middle High school",150
625,"Microbot","Coding Club",150
626,"JC12","CS 10",150
627,"FreeTayK47K","Taymor",150
628,"Starbreaker1415","Dr. Norman Bethune",150
629,"Raimah","Stephen Lewis secondary school, Mississauga, ON",150
630,"BoredInCV","Rachel Carson Middle School ",150
631,"adrianmets22","Craig Kielburger Secondary School. Milton, Ontario",150
632,"BruhXD","Craig Kielburger Secondary School Grade 11",150
633,"073843468","bill crothers",150
634,"AVA","conseil scolaire catholique providence",150
635,"Sashco","St Brother Andre",150
636,"ChristianZambri","St.Brother Andre",150
637,"daniaxu","Saint Brother Andre CHS",150
638,"Mehak71","West Humber Collegiate Institue",150
639,"NTG","Period 3",100
640,"Cosmicor","Fletcher's Meadow Secondary School",100
641,"hackclan","sated",100
642,"233","GCICyberKnight",100
643,"Matcha005","John Polanyi CI",100
644,"nixon","Bill Hogarth Secondary School",100
645,"ComputersScienceGirls","ICS4U",100
646,"RNGG","ICS3U",100
647,"AliBaba","ICS3U",100
648,"MegaPigeon","Monarch Park Collegiate Institute",100
649,"emily","Cedarview MS",100
650,"PicoCTFMember","China",100
651,"Zandew","Earl Haig Secondary School",100
652,"hahajkunless","William Lyon Mackenzie Collegiate Institute",100
653,"ahmedtalpur727","Stephen Lewis Secondary School",100
654,"bueffnohack","Humberview",100
655,"Acer ","Humberview Secondary School ",100
656,"Lilfunks","Newmarket High School",100
657,"hjghjg","Bill Hogarth SS",100
658,"aabb","A Y Jackson",100
659,"WMW137","St. Andrew's College",100
660,"icyjevonte15","Keystone Computers",100
661,"Mxi","Bill Hogarth Secondary School",100
662,"Adnanm","Clarkson Secondary School",100
663,"851376","F.M.S.S.",100
664,"SHAZAM2002","Leaside, Toronto, Canada",100
665,"MP1215","Period1",100
666,"Florida Men","Period 3",100
667,"btait.student10","Cedarbrae CanHack 2019",100
668,"btait.student13","Cedarbrae CanHack 2019",100
669,"btait.student5","Cedarbrae CanHack 2019",100
670,"himikheal","Richmond Hill High School",100
671,"sevsev222","ARS Day School",100
672,"quincygarcia","CKSS - 2019-2020 - Semester 1 - ICS 4U1",100
673,"16BitNarwhal","Pierre Elliott Trudeau HS",100
674,"Albus57","CKSS - 2019-2020 - Semester 1 - ICS 4U1",100
675,"tegannordhart","Saint Malachys Memorial High School",100
676,"kevdawg2002","Humberview CanHack 2019",100
677,"Epilali","Saint Malachys Highschool",100
678,"something something","Saint Malachy' Memorial High School",100
679,"CoolBeans","STM",100
680,"ZacHen82365","Saint Malachys High School",100
681,"ethancho","St. Malachy's Memorial High School",100
682,"kirby123","Leaside",100
683,"Connor3488","Humberview Secondary School",100
684,"saltyRavioli","William Lyon Mackenzie CI",100
685,"Raymo111","Bayview SS",100
686,"hillcrestpaul0719","William Lyon Mackenzie CI",100
687,"Providence123.student9","conseil scolaire catholique providence",100
688,"Stamers","conseil scolaire catholique providence",100
689,"Providence123.student1","conseil scolaire catholique providence",100
690,"Gangstars","The Chum Bucket",100
691,"coraline","John Polanyi CI",100
692,"clarissedoumerc","York school",100
693,"wssswee76","ur mom",100
694,"wongMarkville123.student154","CanHack2019",100
695,"hiliang2","Test School",100
696,"Jennawaffa","conseil scolaire catholique providence",100
697,"Providence123.student22","conseil scolaire catholique providence",100
698,"Kaya","notre dame",100
699,"adamo","Bill Crothers Secondary School",100
700,"Prove them wrong","Bill Crothers Secondary School",100
701,"JSN","North Park Secondary School",100
702,"Gangster Gyani","North Park Seacondary School",100
703,"allenx03","saint brother andre",100
704,"daney84808","Saint Brother Andre CHS",100
705,"andrewau38","St. Brother Andre CHS",100
706,"Reso","Fletcher Meadow",50
707,"calling21","fmss",50
708,"ics2o.student57","newStudents",50
709,"Hackerman27","Satec",50
710,"ThighNuggets","Humberview CanHack Grade 10 2019",50
711,"NGEisoverhyped","ICS3U",50
712,"geoffeaston","ICS3U",50
713,"SubduedDemon","St. Francis Xavier SS",50
714,"ShubhamShah","Vaughan Secondary School",50
715,"Mustang1.student14","Mustang1",50
716,"MAE","Humberview CanHack 2019",50
717,"AdamKirsh","CS 10",50
718,"zmoss22","the york school",50
719,"mrkedwell.student35","ICS",50
720,"adenborjaa","Sisler ",50
721,"bilalk17","CKSS - 2019-2020 - Semester 1 - ICS 4U1",50
722,"Juanatin","John Polanyi Collegiate Institute",50
723,"FrankTheTank7","SAC CompEng",50
724,"SheWasOnlyXI","ARS Lions",50
725,"MikeHunt","ARS Lions",50
726,"The Holy Grail of Shrek Followers","Period 3",50
727,"trinskin1","Listowel",50
728,"Chet16","CSC ",50
729,"Chopin","Fletcher's Meadow",50
730,"Hashbrown123","CSC ",50
731,"The Kings","Period 3",50
732,"alz","Aquinas 305",50
733,"SenseiK","Aquinas 305",50
734,"cake cake cake","Period1",50
735,"SAC","SAC CompEng",50
736,"beatbyjeff","Craig Kielburger Secondary School Grade 11",50
737,"Majyk","Saint Malachy's Memorial High School",50
738,"Walmart Greeters","Saint Malachys Memorial High School",50
739,"cybersecurity159","Saint Malachy's Memorial High School",50
740,"durag killas","saint macs",50
741,"AshLeb44109","St. Malachys Merorial High School",50
742,"DylCam468","ST. Malachy's high school",50
743,"YunJeo74227","St. Malachy, Saint John, NB",50
744,"mastermind","st machs",50
745,"Rossclair10","Northern Secondary School",50
746,"Cyber23","NSS6",50
747,"Providence123.student14","conseil scolaire catholique providence",50
748,"AP Yoga","William Lyon Mackenzie Collegiate Institute",50
749,"popcop2000","CTA-Grade9",50
750,"Providence123.student39","conseil scolaire catholique providence",50
751,"Providence123.student57","conseil scolaire catholique providence",50
752,"EGDA","conseil scolaire catholique providence",50
753,"Providence123.student34","conseil scolaire catholique providence",50
754,"F&M","conseil scolaire catholique providence",50
755,"curryboi123","Troy High School",50
756,"half n half bushes","Earl Haig Secondary Scool",50
757,"Bruhbruh","Brother Andre, Markham, Ontario",50
758,"Stoplight","Monseigneur Bruyère",50
